Name,Price(in Nrs),Transmisson,Colour,Make Year,Mileage,Engine(CC),Fuel,Kilometer Run
Green Indica (Tata),395000,Manual2WD,green,2003,15.0,1400,Diesel,75000
Tata Indica (Tata),390000,Manual2WD,black,2000,13.0,1400,Petrol,90000
Bolero pickup Fully loaded (Mahindra),1550000,Manual4WD,white,2016,13.0,2523,Diesel,45000
Ford Ecosport Titanium push bottom (Ford),2425000,Manual2WD,orange,2016,13.0,1500,Petrol,38000
Hyundai I20 Elite Asta (Hyundai),2275000,Manual2WD,silver,2015,14.0,1200,Petrol,40000
Nissan March (Nissan),1525000,Manual2WD,silver,2014,14.0,1197,Petrol,38000
Suzuki Swift VXI 2009 for sale (Maruti Suzuki),1399000,Manual2WD,other,2009,14.0,1300,Petrol,52000
Diahatsu Sirion (Daihatsu),875000,Manual2WD,silver,2007,14.0,1000,Petrol,61000
Hyyundai Tucson (Hyundai),2150000,Manual4WD,other,2007,13.0,2000,Diesel,78000
Toyota Yaris silver colour one hand 2007 (Toyota),1400000,Auto2WD,other,2007,14.0,1400,Petrol,100000
Suzuki Swift Dezire New Shape (Maruti Suzuki),2190000,Manual2WD,other,2017,14.0,1197,Petrol,38000
wagon r (Maruti Suzuki),1375000,Manual2WD,silver,2014,16.0,1000,Petrol,28000
Grand i10 Asta 2014 (Hyundai),2125000,Manual2WD,other,2014,15.0,1197,Petrol,48000
Ford Fiesta Classic (Ford),1150000,Manual2WD,other,2014,16.0,1400,Diesel,70
Honda brio smt 2012 model seal pack engine (Honda),1350000,Manual2WD,other,2012,14.0,1200,Petrol,59000
Mazda 2 (Mazda),1625000,Manual2WD,other,2010,15.0,1500,Petrol,61000
swift vxi 2012 mode is for sale (Maruti Suzuki),1675000,Manual2WD,silver,2012,15.0,1200,Petrol,52000
2021 model Hyundai Venue-S 9847699255 (Hyundai),3650000,Manual2WD,white,2021,15.0,1200,Petrol,21000
KIA SELTOS HTK+2020 (Kia),4275000,Manual2WD,other,2020,16.0,1500,Petrol,28500
Magnite like new (Nissan),2450000,Manual2WD,other,2021,15.0,1000,Petrol,5600
Hyundai Creta E+ On Sale (Hyundai),3950000,Manual2WD,other,2019,15.0,1600,Petrol,20000
Hyundai Santro On Sale (Hyundai),1100000,Manual4WD,other,2007,15.0,1000,Petrol,60000
Hyundai I20 Active S On Sale (Hyundai),2850000,Manual2WD,other,2017,15.0,1200,Petrol,50000
2010 model Tata Safari VX 7 sitter 4wd 9847699255 (Tata),1175000,Manual4WD,green,2010,15.0,2169,Diesel,70000
Full option Ford Ecosport for Sale (Ford),2299000,Manual2WD,other,2015,15.0,1499,Diesel,50000
Volkswagen Touareg 2010 (Volkswagen),6200000,Auto4WD,other,2010,15.0,2967,Diesel,98000
Hyundai Creta 1.6 Gasoline Sx for sale (Hyundai),5500000,Manual2WD,other,2019,15.0,1591,Petrol,30000
Hyundai I20 Asta Diesel engine CRDI (Hyundai),1375000,Manual2WD,other,2010,15.0,1400,Diesel,47000
SUPER FRESH CONDITION SUZUKI SWIFT DEZIRE ON SALE (Maruti Suzuki),1185000,Manual2WD,other,2009,15.0,1300,Petrol,45000
Tata Ace Ht 2017 (Tata),630000,Auto2WD,other,2017,15.0,702,Diesel,5900
Maruti Suzuki Eeco Van 5seater With AC 2017 Model (Maruti Suzuki),1475000,Manual2WD,other,2017,15.0,1196,Petrol,38300
Kia Sportage single hand with multiple airbag (Kia),5700000,Manual4WD,grey,2016,15.0,2500,Diesel,36200
maruti Suzuki Eeco van with AC (5seater) (Maruti Suzuki),1475000,Manual2WD,white,2017,15.0,1196,Petrol,38300
Mahindra Scorpio S4 plus 2016 single hand (Mahindra),3300000,PowerSteering,silver,2016,15.0,2000,Petrol,56000
Fresh Condition Suzuki Swift Vxi 2009 Model onsale (Maruti Suzuki),1350000,Manual2WD,silver,2009,13.0,1298,Petrol,64000
Fresh Condition I10 Magna 1.2 2013 Model For Sell (Hyundai),1700000,Manual2WD,other,2013,14.0,1200,Petrol,62000
Urgent Sale Tata xenon Doible cabin 4 WD 2015 (Tata),1400000,Manual4WD,silver,2015,15.0,2200,Diesel,130000
hilux on sale (Toyota),7600000,Auto4WD,white,2017,15.0,2700,Petrol,65000
Tata Sumo Victa 2008 (Tata),975000,Manual2WD,silver,2008,15.0,1948,Diesel,56000
Eicher terra 16xp tipper sasto ma bikrima (Eicher),3700000,PowerSteering,other,2021,15.0,4898,Diesel,3700
Tata indica 500000 9860462630 (Tata),500000,Auto2WD,other,2007,15.0,1500,Petrol,20
Swift Dzire 2010 Model (Maruti Suzuki),1400000,PowerSteering,other,2010,15.0,1300,Petrol,61000
Ufo jeep for sale (Other Chinese Brands),1500000,Manual2WD,other,2010,15.0,1600,Petrol,86000
Excellent Condition Maruti Suzuki Alto 800 On Sale,1250000,Manual2WD,other,2015,15.0,800,Petrol,40352
good condition somu gold ex 2016 ko fresh xa (Tata),1500000,Manual2WD,red,2016,14.0,2900,Diesel,80000
Like New 2021 Suzuki Wagon R up for sale (Maruti Suzuki),2275000,Manual2WD,other,2021,15.0,1000,Petrol,15000
Hyundai I 10 Megna car On sell. (Hyundai),1325000,Auto2WD,other,2009,15.0,1200,Petrol,70000
Swift Zxi 2015 Model With Push Bottom On Sale (Maruti Suzuki),2149999,Manual2WD,other,2015,16.0,1200,Petrol,41100
2017 model bolero flat body sale or exng with car (Mahindra),1450000,Manual2WD,other,2017,15.0,2500,Petrol,53000
Honda City Zxi (Honda),1100000,Manual2WD,other,2007,15.0,1500,Petrol,75000
Hyundai i20 Active (Hyundai),2500000,Manual2WD,silver,2016,15.0,1200,Petrol,81000
Daihatsu terios 2014 model for sale (Daihatsu),4300000,Manual4WD,other,2014,15.0,1500,Petrol,59000
Santro For Sale (Hyundai),1150000,Manual2WD,other,2007,13.0,1096,Petrol,57000
Swift Vxi 2009 (Maruti Suzuki),1385000,Manual2WD,other,2009,14.0,1300,Petrol,76500
Tata Ace xL (Tata),950000,Manual2WD,other,2020,15.0,700,Diesel,28250
Santro (Hyundai),2225000,Manual2WD,other,2021,15.0,1086,Petrol,15000
Hyundai i20 Asta 1.4 Automatic for Sale!!! (Hyundai),1800000,Auto2WD,other,2010,15.0,1400,Petrol,76342
Hyundai Santro Era 2021(9851008482) (Hyundai),2225000,Manual2WD,other,2021,15.0,1100,Petrol,15000
Hyundai Santro 2014 Silver (Hyundai),1600000,Manual2WD,other,2014,14.0,1186,Petrol,35000
nissan supersaloon sedan car (Nissan),1250000,Manual2WD,other,2006,13.0,1596,Petrol,69000
Swift Zxi 2016 (Maruti Suzuki),2260000,Manual2WD,other,2016,15.0,1200,Petrol,42000
Single Hand 2015 Swift dzire zxi (Maruti Suzuki),2100000,Manual2WD,grey,2015,14.0,1197,Petrol,47000
Single hand 2010 i20 asta (Hyundai),1575000,Manual2WD,grey,2010,13.0,1197,Petrol,58000
Tata Zest 2017 (Tata),2400000,Manual2WD,other,2017,15.0,1200,Petrol,29000
Scorpio S4 Urgently Sell Ma (Mahindra),2650000,Auto2WD,other,2015,15.0,2179,Diesel,155000
Ford Figo Titanium 2013 (Ford),1200000,Manual2WD,other,2013,15.0,1200,Petrol,56000
Suzuki Swift 2007 (Maruti Suzuki),1100000,Manual2WD,other,2017,15.0,1300,Petrol,72256
Hyundai i10 magna 1200 cc on sell (Hyundai),1275000,Manual2WD,blue,2008,14.0,1200,Petrol,62000
Santro full option (Hyundai),1035000,Manual2WD,silver,2006,15.0,1086,Petrol,68500
Ford freestyle titanium 2018 (Ford),2300000,Auto2WD,other,2018,16.5,1200,Petrol,47000
